學年度,學校名稱,科系名稱,日間／進修別,等級別,總計,男生計,女生計
112,國立臺北科技大學,互動設計系_互動設計與創新外國學生專班,D 日,B 四技,20,4,16
112,國立臺北科技大學,互動設計系,D 日,B 四技,301,111,190
112,國立臺北科技大學,互動設計系_香港二技專班,D 日,C 二技,3,0,3
112,國立臺北科技大學,創意設計學士班,D 日,B 四技,21,8,13
112,國立臺北科技大學,工業設計系,D 日,B 四技,270,87,183
112,國立臺北科技大學,工業設計系_香港二技專班,D 日,C 二技,1,0,1
112,國立臺北科技大學,工業設計系,N 修,B 四技,106,64,42
112,國立臺北科技大學,文化事業發展系,D 日,B 四技,158,45,113
112,國立臺北科技大學,應用英文系,D 日,B 四技,188,60,128
112,國立臺北科技大學,經營管理系,D 日,B 四技,244,71,173
112,國立臺北科技大學,經營管理系_香港二技專班,D 日,C 二技,5,2,3
112,國立臺北科技大學,資訊與財金管理系,D 日,B 四技,273,160,113
112,國立臺北科技大學,資訊與財金管理系_香港二技專班,D 日,C 二技,2,2,0
112,國立臺北科技大學,資訊與財金管理系,N 修,B 四技,173,77,96
112,國立臺北科技大學,資訊工程系,D 日,B 四技,270,236,34
112,國立臺北科技大學,資訊工程系_香港二技專班,D 日,C 二技,2,1,1
112,國立臺北科技大學,資訊工程系,D 日,C 二技,1,1,0
112,國立臺北科技大學,化學工程與生物科技系,D 日,B 四技,555,382,173
112,國立臺北科技大學,分子科學與工程系,D 日,B 四技,183,117,66
112,國立臺北科技大學,材料及資源工程系,D 日,B 四技,413,297,116
112,國立臺北科技大學,能源與冷凍空調工程系,D 日,B 四技,184,172,12
112,國立臺北科技大學,能源與冷凍空調工程系,N 修,B 四技,224,221,3
112,國立臺北科技大學,電機工程系,D 日,B 四技,581,540,41
112,國立臺北科技大學,電機工程系_香港二技專班,D 日,C 二技,5,5,0
112,國立臺北科技大學,電機工程系,N 修,B 四技,64,61,3
112,國立臺北科技大學,電子工程系,D 日,B 四技,453,394,59
112,國立臺北科技大學,電子工程系_香港二技專班,D 日,C 二技,1,1,0
112,國立臺北科技大學,電子工程系,N 修,B 四技,246,231,15
112,國立臺北科技大學,光電工程系,D 日,B 四技,207,187,20
112,國立臺北科技大學,電資學士班,D 日,B 四技,161,120,41
112,國立臺北科技大學,電資學院_外國學生專班,D 日,B 四技,14,11,3
112,國立臺北科技大學,機械工程系,D 日,B 四技,431,391,40
112,國立臺北科技大學,機械工程系,D 日,C 二技,1,1,0
112,國立臺北科技大學,機械工程系產學訓專班,N 修,B 四技,101,91,10
112,國立臺北科技大學,機電學院_機電技優領航專班,D 日,B 四技,109,105,4
112,國立臺北科技大學,機電學士班,D 日,B 四技,56,52,4
112,國立臺北科技大學,智慧自動化工程科,D 日,5 五專,153,126,27
112,國立臺北科技大學,車輛工程系,N 修,B 四技,152,145,7
112,國立臺北科技大學,工業工程與管理系_香港二技專班,D 日,C 二技,1,0,1
112,國立臺北科技大學,土木工程系,D 日,B 四技,451,331,120
